#,Title,VideoID,URL,Animation,SeasonOPED,Song,CHtranslation,Point,Time
1,YOASOBI「アイドル」 Official Music Video,ZRtdQ81jPUQ,https://youtu.be/ZRtdQ81jPUQ,我推的孩子,OP1,アイドル(Idol),偶像,1,
2,One Punch Man - Official Opening - The Hero!! Set Fire to the Furious Fist,atxYe-nOa9w,https://youtu.be/atxYe-nOa9w,一拳超人,OP1,THE HERO!!～怒れる拳に火をつけろ～,THE HERO!!點燃憤怒之拳,1,00:07
3,YOASOBI「怪物」Official Music Video　(YOASOBI - Monster),dy90tA3TT1c,https://youtu.be/dy90tA3TT1c,BEASTARS 動物狂想曲,OP2,かいぶつ(Monster),怪物,2,
4,【MAD】遊戲人生 No Game No Life (This game) 空白永不分開_鈴木このみ(中日歌詞),FghoeusbkUk,https://youtu.be/FghoeusbkUk,遊戲人生,OP,This game,,3,00:30
5,Steins;Gate TV OP Hacking to the Gate AI 4K 中日字幕 (MAD·AMV) (命運石之門 シュタインズ・ゲート) (回憶系列#74),bb8zuHpE9ck,https://youtu.be/bb8zuHpE9ck,命運石之門,OP,Hacking to the Gate,,4,
6,Fullmetal Alchemist Opening 1 Full [Melissa/メリッサ] Lyrics(Kan/Rom/Eng/Esp),9tZAevmOq08,https://youtu.be/9tZAevmOq08,鋼之煉金術師,OP1,メリッサ（Melissa),梅麗莎,4,
7,Fullmetal Alchemist Brotherhood Opening 1 - Again [4K Ultra HD 2160p],aB5YjRcgvgM,https://youtu.be/aB5YjRcgvgM,鋼之煉金術師 Brotherhood,OP1,Again ,,4,
8,"Demon Slayer | OP | ""Gurenge"" by LiSA HD",pmanD_s7G3U,https://youtu.be/pmanD_s7G3U,鬼滅之刃,OP1,ぐれんげ,紅蓮華,1,
9,Attack on Titan Season 2 - Official Opening Song - Shinzou wo Sasageyo by Linked Horizon,CID-sYQNCew,https://youtu.be/CID-sYQNCew,進擊的巨人,OP2,心臓を捧げよ！,獻出你的心臟吧!,1,
10,Tokyo Ghoul Opening | Unravel,7aMOurgDB-o,https://youtu.be/7aMOurgDB-o,東京喰種,OP1,Unravel,揭露,2,
11,『チェンソーマン』ノンクレジットオープニング / CHAINSAW MAN  Opening│米津玄師 「KICK BACK」,dFlDRhvM4L0,https://youtu.be/dFlDRhvM4L0,鏈鋸人,OP1,KICK BACK,回擊,2,
12,Initial D Legend [AMV] - Deja Vu,xbRZE64S3U4,https://youtu.be/xbRZE64S3U4,頭文字D Second Stage,IN,Deja Vu,似曾相識,2,00:39
13,God knows... ''The Melancholy of Haruhi Suzumiya'' 【涼宮ハルヒの憂鬱】Kadokawa公認MAD【ﾍﾞｰｽ 演奏】,WWB01IuMvzA,https://youtu.be/WWB01IuMvzA,涼宮春日的憂鬱,IN,God knows...,,5,
